5,Отличная мышка!
5,Неубиваемая мышка. Купил года 3-4 назад, как работала, так и работает. До сих пор пользуюсь. Единственное что, так это лапки резиновые отпали со временем, но если есть коврик, то они и не нужны.
5,Заменил старую. Доволен. Результат полностью совпал с ожиданием. Для ежедневной работы "самое то".
2,Ужасно. Хуже мышки не видел. началось с того что входит в порт она очень туго. примерно наполовину только, в отличии от старых, которые полностью заходят. так и висит наполовину. благо что работает. штекер кстати не имеет выступа для удобства. но это не все. зазор между колесиком такой что красная струя бьет вверх чуть ли не столбом. жаль фото не могу приложить. так не только вверх. а еще вперед. у меня по монитору красный полукруг бегает. фото этого безобразия прилагаю. не покупайте эту модель.
1,Буду возвращать мышь, т.к. для моего ноутбука она вообще не подходит. Было бы хорошо,чтобы важная информация о характеристиках товара была указана в описании более заметно. Проблем с возвратами будет на порядок меньше!
5,Владею данным девайсом уже около 6-7 лет. Используется активно, каждый день. За все время немного потерся пластик посредине и поотпадали силиконовые ножки, что не сказалось на удобстве использования. Покупал еще во времена, когда эта мышь стоила в 6 раз дешевле . Вечная штука для нетребовательных людей.
5,Классика в мышестроении.
5,Купил уже несколько таких (для офисных условий). Отлично справляются со своими задачами. Удобно сидит в руке, нет "излишеств" в виде дополнительных кнопок или каких-то дизайнерских изгибов - минималистичный дизайн. И за это мне нравится.
5,Все устраивает.
5,нормальний "мЫшь" - бігає
5,Обычная рабочая лошадка.
5,Нормальная и недорогая мышь. В офис самое то.
4,мышка нормальная
4,Учтите она не USB а то вот я недоглядел.
